codigo,idh
412540,0.671
354950,0.693
316294,0.739
431844,0.732
412535,0.676
412530,0.743
412520,0.722
421650,0.687
261330,0.537
316292,0.662
354940,0.762
412480,0.727
261320,0.57
316290,0.708
316280,0.638
412510,0.629
251410,0.552
421640,0.695
211110,0.615
211107,0.517
241210,0.655
250070,0.608
431843,0.748
221000,0.645
354930,0.75
316270,0.615
211105,0.609
316265,0.625
316260,0.648
421625,0.761
316257,0.64
316255,0.65
231250,0.654
412500,0.693
421635,0.738
211102,0.509
251400,0.622
412490,0.664
220997,0.523
150750,0.55
150747,0.539
330510,0.719
316250,0.758
354925,0.748
220995,0.559
431842,0.694
316245,0.529
220990,0.582
354920,0.72
316240,0.569
150746,0.583
522005,0.724
316230,0.653
522000,0.685
316225,0.634
220987,0.515
220985,0.559
354910,0.797
330500,0.671
140050,0.655
421630,0.74
211100,0.598
316220,0.724
431840,0.696
412470,0.637
316210,0.736
330490,0.739
292930,0.627
316200,0.715
312550,0.64
316190,0.667
220980,0.616
316180,0.689
220975,0.56
241200,0.661
231240,0.665
316170,0.67
316150,0.651
316165,0.63
150745,0.595
316160,0.6
431830,0.699
500769,0.729
320470,0.709
130380,0.609
292925,0.592
354900,0.723
280690,0.587
251398,0.58
316110,0.638
421620,0.762
220970,0.57
150740,0.608
241190,0.628
211090,0.528
110149,0.611
316140,0.663
292920,0.674
211085,0.584
316130,0.688
431820,0.685
316120,0.66
330475,0.639
521990,0.651
431810,0.675
220965,0.485
330480,0.691
241180,0.608
150730,0.594
172015,0.574
220960,0.61
292905,0.639
510785,0.668
316105,0.62
211080,0.557
292900,0.639
110148,0.649
292910,0.616
280680,0.588
421610,0.765
251396,0.548
521980,0.597
431805,0.763
316100,0.69
320465,0.682
211070,0.582
251394,0.589
150720,0.532
211065,0.59
150715,0.594
316095,0.638
292895,0.64
292890,0.579
280670,0.662
421605,0.665
354890,0.805
421600,0.769
412460,0.682
261310,0.591
354880,0.862
150710,0.585
220955,0.596
316090,0.664
270820,0.572
431800,0.736
421590,0.731
211060,0.572
354870,0.805
421575,0.677
251390,0.58
211050,0.602
261300,0.593
241170,0.595
172010,0.605
421580,0.782
354860,0.72
241160,0.555
316080,0.672
251392,0.606
261290,0.53
211040,0.541
231230,0.611
354850,0.84
316070,0.741
354840,0.74
412450,0.739
220950,0.613
316060,0.657
354830,0.732
431795,0.732
292880,0.626
431790,0.738
431780,0.739
241150,0.62
150700,0.632
412440,0.671
220945,0.619
211030,0.566
316050,0.669
316045,0.57
431775,0.759
354820,0.706
412430,0.716
431755,0.764
316040,0.724
510780,0.656
510779,0.655
354810,0.714
316030,0.574
316020,0.558
130370,0.49
316010,0.633
521975,0.665
412420,0.696
316000,0.671
354805,0.757
315990,0.672
354800,0.702
330470,0.718
220940,0.584
292870,0.7
521973,0.723
431770,0.686
412410,0.718
431760,0.717
521971,0.691
354790,0.702
431750,0.772
354780,0.815
251385,0.6
354770,0.753
211027,0.518
280660,0.637
421570,0.781
292860,0.646
510726,0.689
431740,0.766
421569,0.728
315980,0.71
431730,0.712
421567,0.669
261280,0.593
510777,0.609
172000,0.637
421568,0.682
412405,0.738
521970,0.701
431725,0.746
171900,0.662
412402,0.705
521960,0.665
251380,0.627
292850,0.587
320460,0.714
354765,0.772
431720,0.769
171890,0.595
421565,0.705
120043,0.517
220937,0.567
354760,0.77
280650,0.592
421560,0.757
521950,0.701
315970,0.705
251370,0.627
211020,0.609
510776,0.735
171889,0.651
315960,0.721
354750,0.775
500755,0.642
521945,0.634
315950,0.607
354740,0.761
521940,0.714
315935,0.613
315930,0.682
315940,0.63
292840,0.605
315920,0.69
251365,0.622
150680,0.691
150690,0.587
211010,0.555
231220,0.616
292830,0.592
315910,0.647
251360,0.594
241142,0.642
280640,0.59
315900,0.665
220935,0.574
315895,0.685
270810,0.519
241140,0.591
211023,0.51
315890,0.621
431710,0.727
315880,0.647
412400,0.687
270800,0.591
315870,0.667
315860,0.651
231210,0.612
150670,0.602
231200,0.587
315850,0.628
354730,0.814
251350,0.535
315840,0.694
315830,0.698
354720,0.773
431700,0.633
292820,0.608
160060,0.692
412395,0.704
354710,0.739
431690,0.784
240933,0.59
412390,0.7
330460,0.668
171888,0.634
315820,0.64
315810,0.613
150660,0.598
412385,0.609
431695,0.676
261270,0.548
320455,0.671
315800,0.648
292810,0.614
354700,0.686
150658,0.544
261260,0.59
315790,0.61
431697,0.663
220930,0.588
251340,0.682
315780,0.715
211000,0.55
211003,0.599
150655,0.546
270790,0.597
280630,0.545
110029,0.67
292805,0.556
292800,0.598
354690,0.737
412382,0.687
320450,0.626
315770,0.706
412380,0.696
354680,0.738
521935,0.683
130360,0.479
150650,0.659
412370,0.72
412360,0.717
251335,0.572
210990,0.674
292790,0.574
421555,0.727
412350,0.744
251330,0.609
210980,0.571
315765,0.567
521930,0.724
354670,0.737
220920,0.544
261255,0.533
210975,0.525
412340,0.705
354660,0.784
171886,0.616
315760,0.615
521925,0.713
354650,0.738
315750,0.607
241120,0.635
261245,0.549
251320,0.618
510774,0.684
431680,0.773
220915,0.577
354640,0.762
220910,0.601
315740,0.625
261250,0.648
150640,0.557
315737,0.577
412330,0.71
315733,0.706
521920,0.688
292780,0.61
354630,0.728
354625,0.743
354620,0.79
261247,0.612
292770,0.654
431675,0.74
354610,0.733
421550,0.698
251315,0.525
431673,0.725
412320,0.723
510724,0.715
292760,0.546
354600,0.735
315720,0.707
315730,0.637
431670,0.725
150635,0.627
315727,0.606
315725,0.613
354580,0.781
521910,0.706
292750,0.583
412310,0.653
354570,0.728
354560,0.76
261240,0.603
421545,0.7
354550,0.709
171884,0.659
521900,0.736
431660,0.747
171880,0.606
210970,0.565
150630,0.608
431650,0.74
431647,0.753
292740,0.759
421540,0.784
354520,0.78
354540,0.704
412300,0.718
431645,0.687
412290,0.704
510775,0.666
354530,0.729
315710,0.608
354515,0.791
421535,0.654
261230,0.559
354510,0.719
231195,0.54
150620,0.647
315700,0.679
292730,0.617
261220,0.669
280620,0.609
412280,0.7
251310,0.568
261210,0.534
251300,0.563
421530,0.744
354480,0.751
354500,0.732
354490,0.772
431643,0.762
261200,0.585
354470,0.73
431642,0.678
315690,0.732
231190,0.575
354460,0.728
315680,0.638
412270,0.74
315670,0.731
241110,0.605
292720,0.61
231180,0.674
150619,0.548
354450,0.759
315660,0.609
521890,0.719
354440,0.721
315650,0.582
270780,0.505
354430,0.737
510770,0.65
210960,0.632
431640,0.699
412265,0.662
280610,0.631
315645,0.662
354425,0.764
140047,0.619
431630,0.688
412260,0.713
510760,0.755
150618,0.602
510757,0.64
431620,0.764
431610,0.724
412250,0.681
421520,0.692
315640,0.708
110028,0.7
431600,0.688
412240,0.739
431595,0.689
120042,0.567
241100,0.604
292710,0.632
315630,0.668
421510,0.754
431590,0.732
500750,0.651
315620,0.684
431580,0.729
354350,0.664
315610,0.653
421507,0.714
431575,0.661
315600,0.558
521880,0.754
500740,0.673
251290,0.585
171875,0.6
421505,0.653
292700,0.572
521878,0.731
315590,0.679
130356,0.611
315580,0.714
315570,0.685
431570,0.693
315560,0.624
315550,0.709
315540,0.707
320440,0.711
412230,0.76
500730,0.709
421500,0.738
150616,0.638
315530,0.648
270770,0.643
354420,0.703
431560,0.744
220900,0.572
354410,0.749
421490,0.806
261190,0.613
315520,0.602
421480,0.802
431555,0.656
421470,0.729
171870,0.616
315510,0.605
292690,0.594
421460,0.754
240895,0.569
315500,0.664
421450,0.729
292680,0.576
330455,0.799
292670,0.605
354400,0.759
330452,0.773
330450,0.68
421440,0.697
171865,0.608
110026,0.643
354390,0.803
330440,0.683
315490,0.65
500720,0.715
510720,0.707
412220,0.679
412217,0.64
120040,0.727
330430,0.71
412215,0.629
412210,0.729
320435,0.681
412200,0.687
315480,0.673
354380,0.723
354370,0.734
354360,0.74
280600,0.613
220890,0.601
354280,0.698
510719,0.692
315470,0.737
354340,0.8
354330,0.784
261180,0.602
354325,0.705
354320,0.747
354323,0.721
412190,0.701
292665,0.54
315460,0.684
354310,0.711
412180,0.716
510718,0.67
354300,0.639
354290,0.712
292660,0.601
220887,0.52
292650,0.512
500710,0.664
210955,0.615
521870,0.693
521860,0.727
280590,0.617
241090,0.592
220885,0.541
315450,0.627
251280,0.568
251278,0.594
241080,0.591
292640,0.615
261170,0.57
241070,0.584
171855,0.572
315445,0.632
251274,0.574
210950,0.576
251276,0.555
292630,0.628
280580,0.539
251275,0.553
292620,0.578
292610,0.636
354270,0.705
431550,0.683
315440,0.683
315430,0.67
412170,0.618
412175,0.648
510715,0.676
330420,0.768
315420,0.685
231170,0.601
412160,0.733
251270,0.607
292600,0.579
431545,0.731
354260,0.754
354250,0.728
354240,0.768
220880,0.591
315415,0.629
431540,0.631
150613,0.672
220870,0.589
354230,0.657
231160,0.626
171850,0.5
315410,0.692
261160,0.772
412150,0.672
412140,0.722
315400,0.655
315390,0.73
210945,0.626
421430,0.753
412130,0.707
412135,0.704
354220,0.751
412125,0.63
354210,0.745
292595,0.564
241060,0.654
241050,0.608
231150,0.622
231140,0.642
231135,0.591
231130,0.659
292593,0.578
261153,0.577
251260,0.622
231126,0.594
412120,0.68
330415,0.704
521850,0.74
261150,0.552
431535,0.756
354200,0.732
412110,0.715
421420,0.73
292590,0.544
431532,0.665
510706,0.692
412100,0.688
354190,0.722
315380,0.682
354180,0.715
330414,0.68
251250,0.608
292580,0.592
220865,0.515
412090,0.681
270760,0.559
412085,0.791
431531,0.689
412080,0.742
330412,0.69
150611,0.543
412070,0.714
354170,0.738
412065,0.71
315370,0.683
431530,0.704
354165,0.678
251240,0.617
431520,0.715
241040,0.567
171845,0.669
412060,0.676
315360,0.69
431517,0.733
280570,0.661
354160,0.743
431515,0.683
521839,0.684
421415,0.706
251230,0.606
412050,0.701
210940,0.512
261140,0.58
150610,0.577
510704,0.752
110147,0.641
354150,0.763
210930,0.587
292575,0.559
210927,0.557
354140,0.806
315340,0.701
421410,0.737
110025,0.664
210923,0.591
431514,0.757
315330,0.595
171840,0.669
320430,0.657
210920,0.563
315320,0.614
210920,0.563
292570,0.542
421400,0.759
130353,0.647
354130,0.75
210910,0.653
292560,0.614
412040,0.713
421390,0.77
354120,0.757
315310,0.632
354110,0.735
315300,0.721
315290,0.729
251220,0.608
354105,0.701
315280,0.695
220860,0.565
412035,0.752
150600,0.523
171830,0.583
354100,0.754
421380,0.718
315270,0.689
354090,0.733
412033,0.71
292550,0.621
160055,0.614
354085,0.696
510700,0.678
421370,0.72
431513,0.715
315260,0.71
315250,0.774
231123,0.604
354080,0.747
292540,0.625
354075,0.697
231120,0.562
315240,0.624
521830,0.659
431510,0.723
120039,0.532
412030,0.685
431507,0.69
110020,0.736
421360,0.786
292530,0.676
412020,0.735
210905,0.615
330411,0.713
270750,0.551
220850,0.549
171820,0.74
500690,0.666
431505,0.698
431500,0.693
160053,0.64
210900,0.684
315230,0.634
354070,0.751
354060,0.758
510685,0.599
510682,0.652
510680,0.685
241025,0.59
270740,0.541
150590,0.503
280560,0.568
270730,0.586
421350,0.76
412015,0.688
412010,0.7
431490,0.805
171800,0.645
220855,0.563
510677,0.673
120080,0.576
150580,0.483
521810,0.654
315220,0.651
231110,0.622
521805,0.684
431480,0.713
241020,0.621
412000,0.738
330410,0.697
521800,0.727
231100,0.581
354050,0.703
354040,0.714
292525,0.58
315217,0.595
315213,0.606
320425,0.669
354030,0.732
421340,0.693
510675,0.703
431478,0.725
315210,0.717
510670,0.686
421330,0.673
171790,0.624
421335,0.689
171780,0.603
500660,0.701
431477,0.725
354020,0.725
354025,0.702
521770,0.687
411995,0.738
510665,0.734
411990,0.763
150570,0.562
354010,0.755
315200,0.689
354000,0.786
421320,0.78
261130,0.598
251210,0.634
353990,0.766
292520,0.666
315190,0.626
280550,0.561
315180,0.779
280540,0.529
510650,0.652
315170,0.691
292510,0.604
251207,0.612
270720,0.526
431475,0.744
251203,0.525
241010,0.587
251200,0.591
261120,0.528
210890,0.576
353980,0.771
353970,0.719
315160,0.712
353960,0.719
431470,0.687
411980,0.706
510645,0.656
292500,0.56
421315,0.751
292490,0.572
521760,0.669
411970,0.705
120038,0.622
150565,0.552
171750,0.65
315150,0.737
320420,0.727
251190,0.57
315140,0.725
353950,0.723
411965,0.71
411960,0.702
251180,0.595
292480,0.578
220840,0.635
292470,0.575
231095,0.591
521740,0.744
521730,0.693
315130,0.684
421310,0.758
431460,0.658
353940,0.779
353930,0.801
171720,0.621
411950,0.7
353920,0.776
431455,0.669
315120,0.731
353910,0.727
315110,0.709
210880,0.576
521720,0.721
270710,0.589
315100,0.717
315090,0.685
353900,0.756
315080,0.6
280530,0.603
353880,0.758
353890,0.749
315070,0.723
330400,0.708
411940,0.708
292467,0.533
220830,0.596
353870,0.785
315060,0.646
521710,0.721
353860,0.739
353850,0.757
231090,0.6
353830,0.711
210870,0.541
220820,0.564
315057,0.594
292465,0.612
320410,0.673
421300,0.777
431450,0.661
210860,0.637
431449,0.71
330395,0.715
280520,0.583
411930,0.654
353820,0.725
421290,0.783
431445,0.72
431447,0.678
411925,0.695
431446,0.65
411920,0.697
411915,0.751
315053,0.619
231085,0.636
353810,0.737
171700,0.605
292460,0.577
270700,0.574
210850,0.633
353800,0.773
292450,0.603
220810,0.566
110146,0.665
315050,0.686
110018,0.71
251170,0.564
241000,0.614
251160,0.56
251150,0.579
353790,0.69
521690,0.684
270690,0.61
292440,0.506
411910,0.694
353780,0.716
315040,0.626
315030,0.678
315020,0.639
315015,0.612
251140,0.608
220800,0.698
150563,0.563
431442,0.758
315010,0.629
292430,0.571
251130,0.621
353770,0.732
270680,0.572
330390,0.745
261110,0.697
521680,0.712
421270,0.716
261100,0.623
261090,0.61
315000,0.656
353760,0.749
411890,0.7
521645,0.676
411900,0.726
411885,0.713
210845,0.564
421260,0.766
314995,0.651
210840,0.599
231080,0.601
353750,0.736
353740,0.766
314990,0.744
314980,0.723
314970,0.703
171665,0.627
314960,0.674
314950,0.694
231070,0.629
421250,0.743
270670,0.63
240990,0.631
353730,0.759
210830,0.554
231060,0.646
431440,0.739
431430,0.741
510642,0.649
171660,0.674
150560,0.581
240980,0.568
314940,0.637
251272,0.542
431420,0.678
314930,0.757
220793,0.562
220790,0.571
500640,0.671
210825,0.516
353720,0.696
320405,0.654
240970,0.583
292420,0.513
171650,0.732
314920,0.729
280510,0.592
353715,0.774
353710,0.769
210820,0.682
353700,0.715
421240,0.728
314915,0.614
251120,0.59
431417,0.64
240960,0.558
510637,0.679
261080,0.567
292410,0.588
353690,0.742
280500,0.593
314910,0.675
251110,0.574
240950,0.559
314900,0.655
314890,0.708
314880,0.624
251100,0.599
160015,0.626
231050,0.603
314875,0.573
353680,0.677
314870,0.627
292405,0.587
353670,0.739
314860,0.627
411880,0.723
220785,0.526
431415,0.683
314850,0.627
210810,0.549
421230,0.716
270660,0.589
411870,0.708
353660,0.725
431413,0.71
292400,0.674
314840,0.625
261070,0.732
251090,0.587
353657,0.718
220780,0.6
210805,0.561
353650,0.795
353640,0.711
411860,0.717
314830,0.637
130350,0.496
240940,0.678
171630,0.661
150555,0.574
220779,0.514
261060,0.639
292390,0.583
330385,0.671
240930,0.618
353630,0.73
314810,0.729
314820,0.682
251080,0.701
220777,0.563
314800,0.765
411850,0.782
411845,0.747
314795,0.614
210800,0.61
314790,0.756
421227,0.659
431410,0.776
431407,0.698
421225,0.72
270650,0.533
261050,0.592
314780,0.648
314770,0.687
431406,0.622
314760,0.715
240920,0.589
251070,0.62
210790,0.532
220775,0.561
240910,0.606
314750,0.642
431405,0.704
210780,0.542
240325,0.766
261040,0.599
220770,0.687
220760,0.575
353625,0.721
353620,0.736
270644,0.605
292380,0.577
130340,0.658
270642,0.548
240890,0.676
110145,0.617
431403,0.749
353610,0.727
240880,0.549
240870,0.603
521640,0.672
150553,0.715
330380,0.693
292370,0.59
251065,0.584
353600,0.737
314740,0.694
500635,0.588
411840,0.763
171620,0.595
510630,0.667
261030,0.537
240860,0.589
353590,0.732
411830,0.709
353580,0.717
510629,0.672
521630,0.711
500630,0.721
411820,0.75
411810,0.717
231040,0.583
292360,0.615
231030,0.57
353570,0.749
421223,0.7
314730,0.729
171610,0.764
431402,0.676
411800,0.746
431400,0.773
231025,0.634
353560,0.719
210770,0.58
330370,0.702
